Index,Raw #,#,Set,Name,Team,Pts.,Yr.,OB/C,Spd/IP,Pos,H,Icon,PU,SO,GB,FB,W,S,S+,DB,TR,HR
'03 299 UL,299,299,UL,Dave Berg,Blue Jays,150,'03,9,8,"2B+1, 3B+0",R,,-,1-,2-3,4-5,6-9,10-17,-,18-21,-,22+
'04 170 UL,170,170,UL,Desi Relaford,Royals,150,'04,9,17,IF+1,S,,-,1-,2-4,5-6,7-9,10-15,16-17,18-19,-,20+
'00 80-2 1st,80,80-2,1st,Eddie Guardado,Twins,150,'00,4,1,Closer,L,,7-,1-6,8-10,11-16,17-18,-,-,19-20,-,-
'01 77-1 1st,77,77-1,1st,Eric Gagne,Dodgers,150,'01,3,5,Starter,R,,1-3,4-8,9-12,13-16,17-18,19-,-,-,-,20+
'02 352 UL,352,352,UL,Esteban Loaiza,Blue Jays,150,'02,3,6,Starter,R,,1-3,4-6,7-12,13-16,-,17-19,-,20-,-,21+
'03 28 P,28,28,P,Fernando Vina,Cardinals,150,'03,9,14,2B+4,L,G,-,-,1-3,4-5,6-8,9-16,17-18,19-20,-,21+
'03 281 UL,281,281,UL,Fernando Vina,Cardinals,150,'03,9,14,2B+4,L,G,-,-,1-3,4-5,6-8,9-16,17-18,19-20,-,21+
'04 14-1 UL,14,14-1,UL,Francisco Cordero,Rangers,150,'04,2,1,Closer,R,,1-,2-6,7-12,13-17,18-19,20-23,-,24-27,-,28+
'02 131-1 UL,131,131-1,UL,Glendon Rusch,Brewers,150,'02,4,5,Starter,L,,1-3,4-7,8-10,11-15,-,16-19,-,20-,-,21+
'02 220 UL,220,220,UL,Glendon Rusch,Mets,150,'02,4,5,Starter,L,,1-3,4-7,8-11,12-15,-,16-19,-,20-21,-,22+
'00 458 1st,458,458,1st,Graeme Lloyd,Blue Jays,150,'00,6,1,Reliever,R,,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-
'04 26-3 UL,26,26-3,UL,Hideki Matsui,Yankees,150,'04,10,9,LF-RF+1,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
'03 43-3 UL,43,43-3,UL,J. C. Romero,Twins,150,'03,4,1,Reliever,L,,1-,2-6,7-13,14-15,16-17,18-19,-,20-22,-,23+
'03 273 UL,273,273,UL,J. D. Drew,Cardinals,150,'03,10,12,LF-RF+1,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
'00 93-1 1st,93,93-1,1st,Jason Grimsley,Yankees,150,'00,4,1,Reliever,R,,4-6,1-3,7-13,14-16,17-18,19-20,-,-,-,-
'01 77-2 1st,77,77-2,1st,Jason Varitek,Red Sox,150,'01,8,C,C+3,S,,-,1-2,3-4,5-,6-11,12-16,-,17-19,-,20+
'02 33-1 UL,33,33-1,UL,Javy Lopez,Braves,150,'02,10,11,C+5,R,,-,1-2,3-6,7-,8-10,11-17,-,18-,-,19+
'02 77-2 UL,77,77-2,UL,Joe Crede,White Sox,150,'02,10,9,3B+2,R,,-,1-,2-3,4-7,8-10,11-16,-,17-18,-,19+
'03 7-2 UL,7,7-2,UL,John Thomson,Rangers,150,'03,4,6,Starter,R,,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+
'05 169 UL,169,169,UL,Kazuhisa Ishii,Dodgers,150,'05,2,6,Starter,L,,1-,2-4,5-9,10-15,16-17,18-19,-,20-24,-,25+
'03 64-3 UL,64,64-3,UL,Ken Huckaby,Blue Jays,150,'03,9,10,C+6,R,R,-,1-2,3-7,8-9,10-11,12-21,-,22-,-,23+
'04 91-3 UL,91,91-3,UL,Kevin Cash,Blue Jays,150,'04,9,8,C+9,R,R,-,1-2,3-5,6-7,8-9,10-15,-,16-19,-,20+
'00 335 1st,335,335,1st,Kevin Jordan,Phillies,150,'00,7,C,"2B+1, 3B+2",R,,-,-,1-2,3-,4-6,7-17,-,18-,19-,20+
'02 290 UL,290,290,UL,Kirk Rueter,Giants,150,'02,4,6,Starter,L,,1-3,4-5,6-11,12-15,16-,17-19,-,20-21,-,22+
'03 39-2 UL,39,39-2,UL,Kris Benson,Pirates,150,'03,3,6,Starter,R,,1-3,4-7,8-12,13-16,17-,18-19,-,20-22,-,23+
'05 251 UL,251,251,UL,Lance Carter,Devil Rays,150,'05,4,1,Reliever,R,,1-4,5-6,7-11,12-16,17-,18-19,-,20-23,-,24+
'02 109-2 UL,109,109-2,UL,Livan Hernandez,Giants,150,'02,4,7,Starter,R,,1-2,3-5,6-11,12-15,16-,17-19,-,20-23,-,24+
'05 129-1 UL,129,129-1,UL,Luis Castillo,Marlins,150,'05,11,18,2B+4,S,G,,1-,2-5,6-,7-10,11-17,18-19,20-,-,21+
'03 5-2 UL,5,5-2,UL,Luis Rivas,Twins,150,'03,9,18,2B+1,R,,-,1-,2-5,6-7,8-,9-15,16-17,18-19,20-,21+
'02 39-2 UL,39,39-2,UL,Marcus Giles,Braves,150,'02,10,12,2B+2,R,,-,1-2,3-4,5-6,7-11,12-17,-,18-20,-,21+
'01 104-1 1st,104,104-1,1st,Marcus Giles,Braves,150,'01,7,A,2B+2,R,,-,1-3,4-,5-,6-11,12-15,16-,17-18,-,19-20
'02 171 UL,171,171,UL,Mark Grudzielanek,Dodgers,150,'02,10,16,2B+2,R,,-,1-,2-5,6-7,8-9,10-18,-,19-,-,20+
'01 222 1st,222,222,1st,Mark Grudzielanek,Dodgers,150,'01,8,B,2B+2,R,,-,-,1-4,5-,6-8,9-16,17-,18-19,20-,-
'05 80-2 UL,80,80-2,UL,Mark Hendrickson,Devil Rays,150,'05,2,6,Starter,L,,1-2,3-5,6-13,14-17,18-,19-22,-,23-24,-,25+
'02 81-3 UL,81,81-3,UL,Mark Johnson,White Sox,150,'02,10,15,C+4,L,,-,1-2,3-4,5-6,7-12,13-18,-,19-,-,20+
'00 179 1st,179,179,1st,Mark Kotsay,Marlins,150,'00,6,B,LF-RF+1,L,,-,-,1-,2-3,-,4-13,14-,15-16,17-18,19-20
'01 242 1st,242,242,1st,Mark Loretta,Brewers,150,'01,7,C,SS+5,R,,-,-,1-3,-,4-7,8-16,-,17-19,-,20+
'03 226 UL,226,226,UL,Marlon Anderson,Phillies,150,'03,9,11,2B+2,L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
'00 328 1st,328,328,1st,Marlon Anderson,Phillies,150,'00,6,A,2B+3,L,,-,-,1-3,4-,-,5-12,13-14,15-18,19-,20+
'01 154-1 1st,154,154-1,1st,Masato Yoshii,Rockies,150,'01,4,6,Starter,R,,1-3,4-6,7-11,12-15,16-,17-18,-,19-,-,20+
'00 26-2 1st,26,26-2,1st,Matt Mantei,Diamondbacks,150,'00,3,1,Closer,R,,11-,1-10,12-13,14-16,17-20,-,-,-,-,-
'03 36-2 UL,36,36-2,UL,Mike Bordick,Blue Jays,150,'03,9,12,SS+5,R,,-,1-,2-4,5-7,8-11,12-17,-,18-19,-,20+
'01 171-2 1st,171,171-2,1st,Mike Holtz,Angels,150,'01,4,1,Reliever,L,,1-2,3-7,8-12,13-15,16-17,18-20,-,-,-,-
'03 38-2 UL,38,38-2,UL,Mike MacDougal,Royals,150,'03,2,1,Closer,R,,1-2,3-6,7-14,15-16,17-18,19-21,-,22-,-,23+
'04 171 UL,171,171,UL,Mike Sweeney,Royals,150,'04,12,10,1B+1,R,,-,1-,2-4,5-7,8-12,13-18,-,19-,-,20+
'02 208 UL,208,208,UL,Mike Thurman,Expos,150,'02,4,6,Starter,R,,1-3,4-6,7-12,13-15,16-,17-19,-,20-,-,21+
'05 55-2 UL,55,55-2,UL,Mike Timlin,Red Sox,150,'05,4,1,Reliever,R,,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+
'00 444 1st,444,444,1st,Mike Venafro,Rangers,150,'00,4,1,Reliever,L,,4-5,1-3,6-14,15-16,17-,18-20,-,-,-,-
'03 298 UL,298,298,UL,Mike Young,Rangers,150,'03,9,11,2B+3,R,,-,1-2,3-5,6-7,8-10,11-17,-,18-,19-,20+
'01 68-2 1st,68,68-2,1st,Odalis Perez,Braves,150,'01,3,5,Starter,L,,1-2,3-7,8-13,14-15,16-17,18-19,-,20-,-,-
'02 254 UL,254,254,UL,Omar Daal,Phillies,150,'02,1,6,Starter,L,,1-4,5-6,7-13,14-18,-,19-,-,20-,-,21+
'02 110-1 UL,110,110-1,UL,Omar Vizquel,Indians,150,'02,10,19,SS+3,S,,-,-,1-5,6-7,8-11,12-17,18-,19-,20-26,27+
'00 265 1st,265,265,1st,Orlando Cabrera,Expos,150,'00,6,B,SS+5,R,,-,-,1-3,4-5,-,6-13,-,14-17,18-,19-20
'00 9-2 1st,9,9-2,1st,Orlando Palmeiro,Angels,150,'00,8,B,LF-RF+1,L,,-,-,1-2,3-,4-9,10-18,19-,20-,-,-
'05 91-1 UL,91,91-1,UL,Paul Wilson,Reds,150,'05,2,6,Starter,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
'02 229 UL,229,229,UL,Ramiro Mendoza,Yankees,150,'02,2,2,Reliever,R,,1-3,4-8,9-16,17-19,-,20-24,-,-,-,25+
'02 7-3 UL,7,7-3,UL,Ramon Ortiz,Angels,150,'02,2,7,Starter,R,,1-3,4-7,8-13,14-17,18-,19-,-,20-22,-,23+
'02 63-2 UL,63,63-2,UL,Randy Winn,Devil Rays,150,'02,10,18,LF-RF+1,S,,-,1-2,3-6,7-,8-10,11-16,17-,18-19,20-24,25+
'03 37-3 UL,37,37-3,UL,Ray King,Braves,150,'03,3,1,Reliever,L,,1-,2-5,6-13,14-17,18-,19-21,-,22-23,-,24+
'00 212 1st,212,212,1st,Rey Sanchez,Royals,150,'00,7,B,SS+5,R,,-,-,1-4,-,-,5-17,18-,19-,20-,-
'00 66-2 1st,66,66-2,1st,Rheal Cormier,Red Sox,150,'00,6,1,Reliever,L,,4-6,1-3,7-12,13-15,16-,17-19,-,20-,-,-
'03 142 UL,142,142,UL,Richard Hidalgo,Astros,150,'03,9,11,LF-RF+1,R,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'05 34-1 UL,34,34-1,UL,Richard Hidalgo,Rangers,150,'05,9,10,LF-RF+1,R,,,1-2,3-4,5-7,8-10,11-16,-,17-18,-,19+
'05 206 UL,206,206,UL,Ricky Bottalico,Mets,150,'05,3,1,Reliever,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-26,-,27+
'00 26-1 1st,26,26-1,1st,Ricky Gutierrez,Cubs,150,'00,8,B,SS+3,R,,-,-,1-4,-,5-9,10-19,20-,-,-,-
'05 156-2 UL,156,156-2,UL,Ricky Ledee,Dodgers,150,'05,9,10,CF+3,L,,,1-2,3-4,5-,6-11,12-16,-,17-18,-,19+
'02 50-2 UL,50,50-2,UL,Rolando Arrojo,Red Sox,150,'02,4,2,Reliever,R,,1-3,4-7,8-14,15-17,18-,19-,-,20-26,-,27+
'01 160-2 1st,160,160-2,1st,Royce Clayton,White Sox,150,'01,7,B,SS+3,R,,-,1-,2-4,5-,6-8,9-15,16-,17-,18-,19-20
'00 9-1 1st,9,9-1,1st,Russ Springer,Diamondbacks,150,'00,5,1,Reliever,R,,6-7,1-5,8-9,10-16,17-18,19-,-,20-,-,-
'04 15-2 UL,15,15-2,UL,Ryan Freel,Reds,150,'04,9,19,LF-RF+2,R,R,-,1-,2-4,5-6,7-8,9-16,-,17-18,19-,20+
'05 286 UL,286,286,UL,Scott Eyre,Giants,150,'05,4,1,Reliever,L,,1-,2-5,6-10,11-15,16-17,18-19,-,20-23,-,24+
'00 118-1 1st,118,118-1,1st,Scott Sullivan,Reds,150,'00,6,1,Reliever,R,,5-7,1-4,8-10,11-15,16-17,18-19,-,20-,-,-
'03 6-2 UL,6,6-2,UL,Scott Sullivan,Reds,150,'03,4,1,Reliever,R,,1-2,3-7,8-11,12-16,17-,18-19,-,20-,-,21+
'04 28-3 UL,28,28-3,UL,Scott Sullivan,Royals,150,'04,3,1,Reliever,R,,1-2,3-7,8-14,15-16,17-18,19-22,-,23-24,-,25+
'04 85-2 UL,85,85-2,UL,Sean Casey,Reds,150,'04,10,10,1B+0,L,,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
'00 377 1st,377,377,1st,Shawn Estes,Giants,150,'00,0,6,Starter,L,,7-9,1-6,10-14,15-18,19-,20-,-,-,-,-
'02 86-3 UL,86,86-3,UL,Sidney Ponson,Orioles,150,'02,1,6,Starter,R,,1-4,5-7,8-14,15-18,-,19-,-,20-21,-,22+
'00 13-2 1st,13,13-2,1st,Steve Sparks,Angels,150,'00,0,6,Starter,R,,4-7,1-3,8-12,13-18,19-,20-,-,-,-,-
'00 433 1st,433,433,1st,Tim Crabtree,Rangers,150,'00,5,1,Reliever,R,,5-6,1-4,7-12,13-15,16-,17-20,-,-,-,-
'01 118-2 1st,118,118-2,1st,Timoniel Perez,Mets,150,'01,7,A,LF-RF+1,L,,-,-,1-,2-3,-,4-14,15-,16-18,19-,20+
'01 224 1st,224,224,1st,Todd Hundley,Dodgers,150,'01,7,B,C+1,S,,-,1-2,3-,4-5,-,6-14,15-,16-17,18-,19-20
'00 165 1st,165,165,1st,Todd Jones,Tigers,150,'00,3,1,Closer,R,,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-
'03 78-3 UL,78,78-3,UL,Tony Graffanino,White Sox,150,'03,9,9,"3B+1, 2B+0",R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,19-,20+
'02 26-3 UL,26,26-3,UL,Tony Womack,Diamondbacks,150,'02,9,22,SS+2,L,,-,-,1-5,6-7,8-,9-16,17-18,19-,20-25,26+
'04 199 UL,199,199,UL,Torii Hunter,Twins,150,'04,9,16,CF+3,R,G,-,1-2,3-5,6-7,8-10,11-16,-,17-18,-,19+
'00 131-1 1st,131,131-1,1st,Travis Fryman,Indians,150,'00,6,B,3B+2,R,,-,-,1-,2-3,4-6,7-14,-,15-17,-,18-20
'01 331 1st,331,331,1st,Travis Lee,Phillies,150,'01,8,B,"LF-RF+2, 1B+0",L,,-,1-,2-4,5-,6-12,13-16,17-,18-19,-,20+
'04 225 UL,225,225,UL,Ty Wigginton,Mets,150,'04,9,15,3B+1,R,,-,1-2,3-4,5-6,7-9,10-15,16-,17-19,-,20+
'00 268 1st,268,268,1st,Wilton Guerrero,Expos,150,'00,7,B,2B+1,S,,-,-,1-4,-,-,5-15,16-,17-18,19-20,-
'04 13-2 UL,13,13-2,UL,Aaron Rowand,White Sox,140,'04,9,11,CF+2,R,,-,1-2,3-4,5-7,8-10,11-14,-,15-19,-,20+
'01 170-2 1st,170,170-2,1st,Antonio Alfonseca,Marlins,140,'01,4,1,Closer,R,,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-
'03 8-3 UL,8,8-3,UL,Antonio Osuna,Yankees,140,'03,3,1,Reliever,R,,1-4,5-9,10-15,16-,17-18,19-20,-,21-22,-,23+
'03 30 P,30,30,P,Barry Larkin,Reds,140,'03,9,13,SS+2,R,,-,1-,2-4,5-7,8-10,11-15,16-,17-19,-,20+
'03 92-3 UL,92,92-3,UL,Barry Larkin,Reds,140,'03,9,13,SS+2,R,,-,1-,2-4,5-7,8-10,11-15,16-,17-19,-,20+
'01 8-1 1st,8,8-1,1st,Ben Molina,Angels,140,'01,7,C,C+7,R,,-,-,1-2,3-4,5-,6-16,-,17-18,-,19-20
'03 257 UL,257,257,UL,Benito Santiago,Giants,140,'03,9,10,C+5,R,,-,1-,2-4,5-7,8-9,10-17,-,18-19,-,20+
'03 26 P,26,26,P,Benito Santiago,Giants,140,'03,9,10,C+5,R,,-,1-,2-4,5-7,8-9,10-17,-,18-19,-,20+
'00 93-2 1st,93,93-2,1st,Benito Santiago,Cubs,140,'00,6,B,C+7,R,,-,1-,2-,3-,4-6,7-15,-,16-17,18-,19-20
'01 32-2 1st,32,32-2,1st,Bobby Bonilla,Braves,140,'01,8,C,LF-RF+0,S,,-,1-2,-,3-5,6-11,12-16,-,17-18,19-,20+
'02 10-3 UL,10,10-3,UL,Brad Fullmer,Angels,140,'02,10,14,DH,L,,-,1-,2-3,4-7,8-9,10-16,-,17-18,-,19+
'02 349 UL,349,349,UL,Brad Fullmer,Blue Jays,140,'02,10,14,DH,L,,-,1-,2-3,4-7,8-9,10-16,-,17-18,-,19+
'04 22-3 UL,22,22-3,UL,Braden Looper,Mets,140,'04,3,1,Closer,R,,1-3,4-7,8-14,15-16,17-,18-23,-,24-26,-,27+
'02 43-3 UL,43,43-3,UL,Buddy Groom,Orioles,140,'02,2,1,Reliever,L,,1-4,5-9,10-16,17-19,-,20-26,-,-,-,27+
'04 320 UL,320,320,UL,Carl Crawford,Devil Rays,140,'04,9,24,LF-RF+2,L,SB,-,1-,2-4,5-6,7-8,9-14,15-18,19-,20-,21+
'04 128 UL,128,128,UL,Carlos Pena,Tigers,140,'04,9,10,1B+1,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,20-,22+
'02 62-3 UL,62,62-3,UL,Chris Gomez,Devil Rays,140,'02,9,13,SS+2,R,,-,-,1-4,5-7,8-9,10-16,-,17-18,-,19+
'02 47-3 UL,47,47-3,UL,Chris Richard,Orioles,140,'02,10,16,LF-RF+1,L,,-,1-3,4-6,7-,8-11,12-16,17-,18-19,-,20+
'05 319 UL,319,319,UL,Danys Baez,Devil Rays,140,'05,3,1,Closer,R,,1-,2-5,6-11,12-16,17-,18-19,-,20-25,-,26+
'00 4-1 1st,4,4-1,1st,Darin Erstad,Angels,140,'00,6,B,"LF-RF+2, 1B+1",L,,-,-,1-2,3-,4-5,6-15,16-,17-,18-,19-20
'00 69-2 1st,69,69-2,1st,Darren Lewis,Red Sox,140,'00,7,A,"CF+3, LF-RF+2",R,,-,-,1-4,5-,6-10,11-17,18-19,-,20-,-
'01 386 1st,386,386,1st,David Bell,Mariners,140,'01,7,B,2B-3B+2,R,,-,-,1-2,3-4,5-9,10-16,-,17-18,-,19-20
'03 30-2 UL,30,30-2,UL,Dean Palmer,Tigers,140,'03,9,10,DH,R,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'00 160 1st,160,160,1st,Deivi Cruz,Tigers,140,'00,6,C,SS+5,R,,-,-,1-2,3-,-,4-14,-,15-18,-,19-20
'00 188 1st,188,188,1st,Derek Bell,Astros,140,'00,6,A,LF-RF+1,R,,-,1-,2-,-,3-8,9-15,16-17,18-,-,19-20
'01 328 1st,328,328,1st,Doug Glanville,Phillies,140,'01,7,A,"CF+2, LF-RF+1",R,,-,-,1-4,5-,-,6-15,16-17,18-,19-,20+
'05 299 UL,299,299,UL,Edgar Martinez,Mariners,140,'05,10,9,DH,R,,,1-2,3-4,5-6,7-10,11-17,-,18-19,-,20+
'01 23-1 1st,23,23-1,1st,Enrique Wilson,Pirates,140,'01,7,B,"SS+3, 3B+1",S,,-,-,1-3,4-,5-6,7-15,16-,17-19,-,20+
'02 35-3 UL,35,35-3,UL,Eric Karros,Dodgers,140,'02,9,11,1B+1,R,,-,1-3,4-6,7-,8-10,11-16,-,17-18,-,19+
'03 36-3 UL,36,36-3,UL,Felipe Lopez,Reds,140,'03,9,17,SS+2,S,,-,1-2,3-5,6-,7-10,11-16,17-18,19-,20-21,22+
'03 187 UL,187,187,UL,Fernando Tatis,Expos,140,'03,9,9,3B+1,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'04 329 UL,329,329,UL,Francisco Cordero,Rangers,140,'04,3,1,Closer,R,,1-2,3-8,9-15,16-17,18-,19-23,-,24-26,-,27+
'04 149 UL,149,149,UL,Geoff Blum,Astros,140,'04,9,8,IF+1,S,,-,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
'03 169 UL,169,169,UL,Geoff Jenkins,Brewers,140,'03,9,9,LF-RF+1,L,,-,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
'03 34-2 UL,34,34-2,UL,Glendon Rusch,Brewers,140,'03,2,6,Starter,L,,1-3,4-7,8-14,15-16,17-,18-19,-,20-22,-,23+
'05 103-2 UL,103,103-2,UL,Grady Sizemore,Indians,140,'05,10,12,CF+2,L,,,1-,2-4,5-6,7-10,11-18,-,19-,-,20+
'00 29-2 1st,29,29-2,1st,Greg Swindell,Diamondbacks,140,'00,3,1,Reliever,L,,6-7,1-5,8-11,12-17,18-,19-20,-,-,-,-
'00 75-1 1st,75,75-1,1st,Gregg Olson,Dodgers,140,'00,3,1,Reliever,R,,5-6,1-4,7-11,12-17,18-,19-20,-,-,-,-
'04 25-3 UL,25,25-3,UL,Horacio Ramirez,Braves,140,'04,2,6,Starter,L,R,1-,2-4,5-10,11-16,17-,18-19,-,20-23,-,24+
'04 93-3 UL,93,93-3,UL,J. C. Romero,Twins,140,'04,1,1,Reliever,L,,1-3,-,4-16,17-20,-,21-23,-,24-27,-,28+
'00 100-2 1st,100,100-2,1st,Jason Isringhausen,Athletics,140,'00,3,1,Closer,R,,5-6,1-4,7-11,12-16,17-18,19-,-,20-,-,-
'02 125-2 UL,125,125-2,UL,Jason Schmidt,Giants,140,'02,4,6,Starter,R,,-,1-4,5-10,11-14,15-18,19-,-,20-26,-,27+
'01 245 1st,245,245,1st,Jay Canizaro,Twins,140,'01,7,B,2B+1,R,,-,1-,2-,3-,4-6,7-14,15-,16-18,-,19-20
'03 41-3 UL,41,41-3,UL,Jay Gibbons,Orioles,140,'03,9,9,LF-RF+1,L,,-,1-,2-4,5-7,8-11,12-16,-,17-18,-,19+
'05 283 UL,283,283,UL,Jim Brower,Giants,140,'05,3,1,Reliever,R,,1-,2-5,6-13,14-16,17-,18-19,-,20-26,-,27+
'01 59-2 1st,59,59-2,1st,Joe Crede,White Sox,140,'01,7,C,3B+1,R,,-,1-2,-,3-,4-6,7-16,-,17-,-,18-20
'00 78-1 1st,78,78-1,1st,John Valentin,Red Sox,140,'00,6,C,3B+2,R,,-,-,-,1-2,3-6,7-14,-,15-17,-,18-20
'01 239 1st,239,239,1st,Jose Hernandez,Brewers,140,'01,7,B,"SS+3, 3B+1",R,,-,1-3,4-5,-,6-9,10-16,-,17-18,-,19-20
'01 75-1 1st,75,75-1,1st,Jose Offerman,Red Sox,140,'01,8,C,"2B+1, 1B+0",S,,-,-,1-,2-3,4-10,11-18,-,-,19-,20+
'04 84-2 UL,84,84-2,UL,Jose Valentin,White Sox,140,'04,9,12,SS+3,S,,-,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
'02 33-2 UL,33,33-2,UL,Juan Encarnacion,Reds,140,'02,8,19,LF-RF+1,R,,-,1-3,4-,5-6,7-8,9-14,15-,16-17,18-,19+
'05 327 UL,327,327,UL,Julio Lugo,Devil Rays,140,'05,10,18,SS+3,R,,,1-2,3-5,6-7,8-10,11-16,17-,18-20,-,21+
'01 79-1 1st,79,79-1,1st,Justin Speier,Indians,140,'01,3,1,Reliever,R,,1-3,4-9,10-12,13-17,18-,19-,-,20-,-,-
'04 21-3 UL,21,21-3,UL,Kelvim Escobar,Angels,140,'04,2,5,Starter,R,,1-0,2-6,7-13,14-16,17-,18-19,-,20-23,-,24+
'00 404 1st,404,404,1st,Kent Bottenfield,Cardinals,140,'00,0,6,Starter,R,,6-8,1-5,9-12,13-18,19-,20-,-,-,-,-
'01 352 1st,352,352,1st,Kevin Young,Pirates,140,'01,7,B,1B+0,R,,-,1-2,-,3-5,6-8,9-14,15-,16-17,-,18-20
'05 272 UL,272,272,UL,Khalil Greene,Padres,140,'05,10,12,SS+4,R,,,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
'04 319 UL,319,319,UL,Lance Carter,Devil Rays,140,'04,2,1,Closer,R,,1-,2-4,5-9,10-18,19-,20-,-,21-23,-,24+
'04 24-3 UL,24,24-3,UL,Laynce Nix,Rangers,140,'04,9,10,OF+1,L,,-,1-2,3-5,6-7,8-9,10-16,-,17-18,-,19+
'05 334 UL,334,334,UL,Laynce Nix,Rangers,140,'05,9,17,CF+0,L,,,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
'02 58-3 UL,58,58-3,UL,Luis Rivas,Twins,140,'02,9,21,2B+0,R,,-,1-,2-5,6-,7-9,10-16,17-18,19-,20-24,25+
'03 18 P,18,18,P,Mark Derosa,Braves,140,'03,10,15,"2B+4, OF+0",R,,-,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
'03 31-1 UL,31,31-1,UL,Mark Grudzielanek,Cubs,140,'03,9,10,2B+1,R,,-,1-2,3-5,6-7,8-9,10-18,-,19-,-,20+
'01 455 1st,455,455,1st,Mark Guthrie,Blue Jays,140,'01,3,1,Reliever,L,,1-3,4-8,9-13,14-16,17-,18-20,-,-,-,-
'01 53-2 1st,53,53-2,1st,Mark Guthrie,Athletics,140,'01,3,1,Reliever,L,,1-3,4-8,9-13,14-16,17-,18-20,-,-,-,-
'03 32-1 UL,32,32-1,UL,Matt Williams,Diamondbacks,140,'03,9,10,3B+0,R,,-,1-2,3-4,5-6,7-10,11-17,-,18-,-,19+
'03 33-3 UL,33,33-3,UL,Michael Cuddyer,Twins,140,'03,9,12,LF-RF+1,R,R,-,1-2,3-5,6-7,8-9,10-16,-,17-19,-,20+
'04 172 UL,172,172,UL,Michael Tucker,Royals,140,'04,9,12,OF+0,L,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,19-,20+
'04 133 UL,133,133,UL,Miguel Cabrera,Marlins,140,'04,9,8,"LF-RF+1, 3B+1",R,R,-,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
'04 18 P,18,18,P,Mike Remlinger,Cubs,140,'04,3,1,Reliever,L,,1-3,4-9,10-14,15-16,17-18,19-21,-,22-23,-,24+
'04 70-3 UL,70,70-3,UL,Mike Remlinger,Cubs,140,'04,3,1,Reliever,L,,1-3,4-9,10-14,15-16,17-18,19-21,-,22-23,-,24+
'03 211 UL,211,211,UL,Mike Stanton,Yankees,140,'03,3,1,Reliever,L,,1-3,4-6,7-12,13-16,17-,18-19,-,20-25,-,26+
'03 47 P,47,47,P,Mike Stanton,Yankees,140,'03,3,1,Reliever,L,,1-3,4-6,7-12,13-16,17-,18-19,-,20-25,-,26+
'01 415 1st,415,415,1st,Mike Timlin,Cardinals,140,'01,2,1,Reliever,R,,1-2,3-7,8-14,15-17,18-,19-20,-,-,-,-
'01 351 1st,351,351,1st,Mike Williams,Pirates,140,'01,2,1,Closer,R,,1-,2-7,8-13,14-17,18-19,20-,-,-,-,-
'02 45-3 UL,45,45-3,UL,Neifi Perez,Royals,140,'02,9,20,SS+3,S,,-,-,1-3,4-7,8-,9-18,-,19-,20-24,25+
'05 50-2 UL,50,50-2,UL,Omar Vizquel,Giants,140,'05,10,16,SS+2,S,,,1-,2-4,5-6,7-10,11-17,18-,19-20,-,21+
'04 181 UL,181,181,UL,Paul Lo Duca,Dodgers,140,'04,9,8,"C+9, 1B+0",R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
'04 20 P,20,20,P,Paul Lo Duca,Dodgers,140,'04,9,8,"C+9, 1B+0",R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
'00 219 1st,219,219,1st,Pedro Borbon,Dodgers,140,'00,5,1,Reliever,L,,4-5,1-3,6-9,10-15,16-18,19-,-,20-,-,-
'03 27-2 UL,27,27-2,UL,Ramiro Mendoza,Red Sox,140,'03,4,1,Reliever,R,,-,1-3,4-11,12-15,16-,17-19,-,20-23,-,24+
'00 430 1st,430,430,1st,Randy Winn,Devil Rays,140,'00,6,A,OF+1,S,,-,1-,2-3,-,-,4-13,14-15,16-18,19-20,-
'03 247 UL,247,247,UL,Ray Lankford,Padres,140,'03,10,9,LF-RF+1,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-,-,19+
